,Method,Day,Location
eDkt1,eD,1,kt
eDkt2,eD,2,kt
eDkt3,eD,3,kt
eDkt4,eD,4,kt
eDkt5,eD,5,kt
eDstt1,eD,1,stt
eDstt2,eD,2,stt
eDstt3,eD,3,stt
eDstt4,eD,4,stt
eDstt5,eD,5,stt
eDsyp1,eD,1,syp
eDsyp2,eD,2,syp
eDsyp3,eD,3,syp
eDsyp4,eD,4,syp
eDsyp5,eD,5,syp
fkt1,f,1,kt
fkt2,f,2,kt
fkt3,f,3,kt
fkt4,f,4,kt
fkt5,f,5,kt
fstt1,f,1,stt
fstt2,f,2,stt
fstt3,f,3,stt
fstt4,f,4,stt
fstt5,f,5,stt
fsyp1,f,1,syp
fsyp2,f,2,syp
fsyp3,f,3,syp
fsyp5,f,5,syp
pkt1,p,1,kt
pkt2,p,2,kt
pkt3,p,3,kt
pkt5,p,5,kt
pstt1,p,1,stt
pstt2,p,2,stt
pstt3,p,3,stt
pstt4,p,4,stt
pstt5,p,5,stt
psyp1,p,1,syp
psyp2,p,2,syp
psyp3,p,3,syp
psyp4,p,4,syp
psyp5,p,5,syp
vkt1,v,1,kt
vkt2,v,2,kt
vkt3,v,3,kt
vkt4,v,4,kt
vkt5,v,5,kt
vstt1,v,1,stt
vstt2,v,2,stt
vstt3,v,3,stt
vstt4,v,4,stt
vstt5,v,5,stt
vsyp1,v,1,syp
vsyp2,v,2,syp
vsyp3,v,3,syp
vsyp4,v,4,syp
vsyp5,v,5,syp